district,year,green_ratio
종로구,2021,0.9368632371392722
중구,2021,2.2247891566265063
용산구,2021,1.6357521719250114
성동구,2021,1.8079537366548042
광진구,2021,1.6839800703399763
동대문구,2021,2.95626582278481
중랑구,2021,2.919102702702703
성북구,2021,1.6618022782750204
강북구,2021,0.587521186440678
도봉구,2021,1.2781404358353512
노원구,2021,1.8624661399548534
은평구,2021,1.3805553685627736
서대문구,2021,1.437475893363585
마포구,2021,3.7165828092243185
양천구,2021,2.7441068351522113
강서구,2021,2.781027744270205
구로구,2021,3.1218190854870773
금천구,2021,2.982258064516129
영등포구,2021,3.2536537678207735
동작구,2021,1.7273716381418094
관악구,2021,0.8540953669259385
서초구,2021,3.0846253724989356
강남구,2021,5.082541772151899
송파구,2021,2.955944510035419
강동구,2021,2.463416022773485
종로구,2022,0.9554621497281472
중구,2022,2.231696787148594
용산구,2022,1.6212528577960676
성동구,2022,1.8520332936979786
광진구,2022,1.70320633059789
동대문구,2022,2.963206751054852
중랑구,2022,2.918778378378378
성북구,2022,1.6796623270951994
강북구,2022,0.5895296610169491
도봉구,2022,1.2899370460048427
노원구,2022,1.9004147855530475
은평구,2022,1.3805553685627736
서대문구,2022,1.4452467385138967
마포구,2022,3.7165828092243185
양천구,2022,2.767731188971855
강서구,2022,2.7815946924004824
구로구,2022,3.3881510934393635
금천구,2022,3.2361904761904765
영등포구,2022,3.2728594704684317
동작구,2022,1.73
관악구,2022,0.8545147108555969
서초구,2022,3.080932510112838
강남구,2022,5.069746835443038
송파구,2022,2.955944510035419
강동구,2022,2.468235054900366
종로구,2023,0.9554621497281472
중구,2023,2.3868072289156625
용산구,2023,1.7052949245541837
성동구,2023,1.7086860879904873
광진구,2023,1.7048534583821804
동대문구,2023,2.961898734177215
중랑구,2023,2.9208486486486485
성북구,2023,1.5878030919446704
강북구,2023,0.5895296610169491
도봉구,2023,1.315050847457627
노원구,2023,1.9024887133182844
은평구,2023,1.4690138000673174
서대문구,2023,1.4500113442994895
마포구,2023,3.71251572327044
양천구,2023,2.7677426766226305
강서구,2023,2.788400482509047
구로구,2023,3.4269731610337972
금천구,2023,3.2479032258064517
영등포구,2023,3.361560081466395
동작구,2023,1.73
관악구,2023,0.8585525870815016
서초구,2023,3.080932510112838
강남구,2023,4.9381974683544305
송파구,2023,3.119755017709563
강동구,2023,2.47079707198048
종로구,2024,0.9559514847344207
중구,2024,2.221877510040161
용산구,2024,1.6132738911751259
성동구,2024,1.8520166073546858
광진구,2024,1.7048534583821804
동대문구,2024,2.9644444444444447
중랑구,2024,2.9200702702702706
성북구,2024,1.5817745217745218
강북구,2024,0.5902415254237288
도봉구,2024,1.3233753026634383
노원구,2024,1.9334480812641084
은평구,2024,1.3798586334567486
서대문구,2024,1.4406352807714125
마포구,2024,3.6896603773584906
양천구,2024,2.7616427340608847
강서구,2024,2.7813558504221954
구로구,2024,3.4478429423459245
금천구,2024,3.237181259600615
영등포구,2024,3.364395112016293
동작구,2024,1.62765749235474
관악구,2024,0.8532059519783565
서초구,2024,3.080932510112838
강남구,2024,4.908390280941534
송파구,2024,2.9615850059031876
강동구,2024,2.4734810898739323
종로구,2025,0.9386407360936846
중구,2025,2.1705522088353413
용산구,2025,1.6143895747599453
성동구,2025,1.85128418549346
광진구,2025,1.723194607268464
동대문구,2025,2.9775527426160338
중랑구,2025,3.018854054054054
성북구,2025,1.6362993086620579
강북구,2025,0.5906819144430326
도봉구,2025,1.3228910411622277
노원구,2025,1.9211562323745064
은평구,2025,1.4046516324469875
서대문구,2025,1.474117980714691
마포구,2025,3.713622641509434
양천구,2025,2.7627857553130384
강서구,2025,2.7940096501809406
구로구,2025,3.459985089463221
금천구,2025,3.2499923195084484
영등포구,2025,3.2858696537678207
동작구,2025,1.9253300733496335
관악구,2025,0.8567636117686844
서초구,2025,3.08682563338301
강남구,2025,4.914486075949367
송파구,2025,3.12711334120425
강동구,2025,2.5711305408702723
