date,district,temperature,max_temperature,min_temperature,rainfall,wind_speed,humidity,green_ratio,district_population,hour_count,patient_count,death_count
2021-05-20,강남구,19.266666666666666,23.1,15.5,0.0,1.0791666666666668,56.300000000000004,5.082541772151899,537800,24,0.0,0.0
2021-05-20,강동구,19.07916666666667,22.6,15.6,0.0,1.575,49.65,2.463416022773485,466472,24,0.0,0.0
2021-05-20,강북구,19.425,23.5,15.9,0.0,2.0500000000000003,49.62916666666666,0.587521186440678,302563,24,0.0,0.0
2021-05-20,강서구,18.7,23.4,15.0,0.0,1.3708333333333333,54.425000000000004,2.781027744270205,579768,24,0.0,0.0
2021-05-20,관악구,16.770833333333332,21.7,13.6,0.0,1.4625000000000001,48.15416666666667,0.8540953669259385,499449,24,0.0,0.0
2021-05-20,광진구,19.07916666666667,22.6,15.6,0.0,1.575,49.65,1.6839800703399763,352627,24,0.0,0.0
2021-05-20,구로구,18.925,23.1,15.0,0.0,2.441666666666667,64.49166666666666,3.1218190854870773,421163,24,0.0,0.0
2021-05-20,금천구,19.95,24.1,15.6,0.0,1.8458333333333332,48.15416666666667,2.982258064516129,244891,24,0.0,0.0
2021-05-20,노원구,17.554166666666667,22.7,12.9,0.0,1.5125,63.15416666666667,1.8624661399548537,514946,24,0.0,0.0
2021-05-20,도봉구,17.666666666666668,21.4,14.1,0.0,1.3125,69.17083333333333,1.2781404358353512,319373,24,0.0,0.0
2021-05-20,동대문구,19.233333333333334,23.0,16.0,0.0,1.8333333333333333,50.8125,2.95626582278481,352006,24,0.0,0.0
2021-05-20,동작구,20.5125,24.2,16.2,0.0,1.7833333333333332,48.15416666666667,1.7273716381418094,394364,24,0.0,0.0
2021-05-20,마포구,19.279166666666665,22.9,14.8,0.0,2.470833333333333,53.51666666666667,3.71658280922432,378686,24,0.0,0.0
2021-05-20,서대문구,18.020833333333332,22.2,14.3,0.0,1.2249999999999999,58.23333333333333,1.437475893363585,315659,24,0.0,0.0
2021-05-20,서초구,18.866666666666667,23.2,15.6,0.0,1.3666666666666665,56.300000000000004,3.084625372498936,416167,24,0.0,0.0
2021-05-20,성동구,20.008333333333333,23.6,16.2,0.0,2.058333333333333,52.9625,1.807953736654804,292672,24,0.0,0.0
2021-05-20,성북구,17.599999999999998,21.3,14.6,0.0,2.0791666666666666,57.4375,1.6618022782750204,440142,24,0.0,0.0
2021-05-20,송파구,19.733333333333334,23.2,16.0,0.0,1.6958333333333335,56.300000000000004,2.955944510035419,663965,24,0.0,0.0
2021-05-20,양천구,20.275000000000002,24.3,15.7,0.0,0.9541666666666666,48.15416666666667,2.744106835152212,450487,24,0.0,0.0
2021-05-20,영등포구,20.316666666666666,24.1,15.7,0.0,0.8416666666666667,53.51666666666667,3.253653767820773,400908,24,0.0,0.0
2021-05-20,용산구,19.775000000000002,23.6,16.1,0.0,1.8916666666666666,53.239583333333336,1.6357521719250114,237285,24,0.0,0.0
2021-05-20,은평구,16.900000000000002,22.5,11.6,0.0,1.1166666666666667,58.23333333333333,1.3805553685627736,477173,24,0.0,0.0
2021-05-20,종로구,18.258333333333333,21.6,14.0,0.0,3.2916666666666665,53.239583333333336,0.9368632371392722,153789,24,0.0,0.0
2021-05-20,중구,18.258333333333333,21.6,14.0,0.0,3.2916666666666665,53.239583333333336,2.2247891566265063,131787,24,0.0,0.0
2021-05-20,중랑구,19.766666666666666,23.0,16.4,0.0,2.2583333333333333,52.9125,2.919102702702703,391885,24,0.0,0.0
2021-05-21,강남구,15.799999999999999,18.0,14.1,0.0,0.9,92.94583333333333,5.082541772151899,537800,24,0.0,0.0
2021-05-21,강동구,15.658333333333333,17.6,14.0,0.0,1.2458333333333333,82.84583333333333,2.463416022773485,466472,24,0.0,0.0
2021-05-21,강북구,16.116666666666667,18.7,14.1,0.0,1.8375000000000001,79.90833333333333,0.587521186440678,302563,24,0.0,0.0
2021-05-21,강서구,16.070833333333333,18.8,13.9,0.0,1.9124999999999999,89.73333333333333,2.781027744270205,579768,24,0.0,0.0
2021-05-21,관악구,14.058333333333332,16.1,12.4,0.0,1.5333333333333332,82.3875,0.8540953669259385,499449,24,0.0,0.0
2021-05-21,광진구,15.658333333333333,17.6,14.0,0.0,1.2458333333333333,82.84583333333333,1.6839800703399763,352627,24,0.0,0.0
2021-05-21,구로구,15.775,18.3,13.9,0.0,2.15,90.35416666666667,3.1218190854870773,421163,24,0.0,0.0
2021-05-21,금천구,15.975,19.1,14.1,0.0,1.7666666666666666,82.3875,2.982258064516129,244891,24,0.0,0.0
2021-05-21,노원구,15.358333333333334,18.8,13.1,0.0,0.7833333333333333,87.97500000000001,1.8624661399548537,514946,24,0.0,0.0
2021-05-21,도봉구,16.104166666666668,18.2,14.6,0.0,1.0041666666666667,96.78750000000001,1.2781404358353512,319373,24,0.0,0.0
2021-05-21,동대문구,15.991666666666667,18.7,14.1,0.0,1.625,81.44166666666666,2.95626582278481,352006,24,0.0,0.0
2021-05-21,동작구,16.650000000000002,19.6,14.7,0.0,1.0958333333333334,82.3875,1.7273716381418094,394364,24,0.0,0.0
2021-05-21,마포구,15.645833333333334,18.0,13.6,0.0,2.441666666666667,91.10000000000001,3.71658280922432,378686,24,0.0,0.0
2021-05-21,서대문구,14.725,17.1,13.0,0.0,0.8583333333333334,92.32916666666667,1.437475893363585,315659,24,0.0,0.0
2021-05-21,서초구,15.466666666666667,17.4,14.3,0.0,1.1333333333333333,92.94583333333333,3.084625372498936,416167,24,0.0,0.0
2021-05-21,성동구,16.183333333333334,18.7,14.3,0.0,1.9375,88.94583333333333,1.807953736654804,292672,24,0.0,0.0
2021-05-21,성북구,14.558333333333332,16.9,13.1,0.0,1.55,92.68333333333334,1.6618022782750204,440142,24,0.0,0.0
2021-05-21,송파구,15.991666666666667,17.5,14.4,0.0,1.4666666666666668,92.94583333333333,2.955944510035419,663965,24,0.0,0.0
2021-05-21,양천구,16.595833333333335,19.3,14.6,0.0,0.8166666666666668,82.3875,2.744106835152212,450487,24,0.0,0.0
2021-05-21,영등포구,16.470833333333335,19.3,14.3,0.0,0.8083333333333332,91.10000000000001,3.253653767820773,400908,24,0.0,0.0
2021-05-21,용산구,15.966666666666667,18.6,14.3,0.0,1.6416666666666666,90.02291666666667,1.6357521719250114,237285,24,0.0,0.0
2021-05-21,은평구,15.041666666666666,18.2,13.2,0.0,0.8333333333333334,92.32916666666667,1.3805553685627736,477173,24,0.0,0.0
2021-05-21,종로구,14.2125,16.6,12.2,0.0,2.408333333333333,90.02291666666667,0.9368632371392722,153789,24,0.0,0.0
2021-05-21,중구,14.2125,16.6,12.2,0.0,2.408333333333333,90.02291666666667,2.2247891566265063,131787,24,0.0,0.0
2021-05-21,중랑구,16.266666666666666,18.4,14.3,0.0,1.5999999999999999,88.66250000000001,2.919102702702703,391885,24,0.0,0.0
2021-05-22,강남구,19.270833333333332,25.0,13.5,0.0,1.5416666666666667,67.85416666666667,5.082541772151899,537800,24,0.0,0.0
