district,year,district_population,green_ratio,temperature,wind_speed,humidity,avg_temperature_3h
강남구,2021,537800,5.082541772151899,24.91073738680466,1.1323519896473633,70.60161707632601,24.910602331606217
강남구,2022,534103,5.069746835443038,24.907461240310077,1.1884342238755494,70.40345607235142,24.90793281653747
강남구,2023,550282,4.9381974683544305,25.52883057985099,1.074245939675174,71.51577583414318,25.53427134047387
강남구,2024,563215,4.908390280941534,26.523027166882276,1.171922024623803,69.42864532816036,26.527765544041454
강남구,2025,562508,4.914486075949367,26.313837095191364,1.168357329842932,68.94111874386654,26.31877417240249
강동구,2021,466472,2.463416022773485,25.25737432488575,1.55619285120532,70.20556709597008,25.26025363825364
강동구,2022,464037,2.468235054900366,24.428626817447498,1.5501616031027796,70.62552504038773,24.432596184933722
강동구,2023,463318,2.47079707198048,24.849547803617572,1.5641149870801034,85.67266818329541,24.850342377260983
강동구,2024,481474,2.4734810898739323,25.811821705426354,1.6686369509043928,68.88249354005168,25.811023901808785
강동구,2025,503997,2.5711305408702723,25.574426123504686,1.6435499515033947,68.97439379243453,25.569909414428988
강북구,2021,302563,0.587521186440678,24.732299741602066,1.748529886914378,65.76585917312661,24.731679586563306
강북구,2022,297702,0.5895296610169491,24.739534883720932,1.8866235864297254,67.43155684754522,24.739757751937983
강북구,2023,292977,0.5895296610169491,23.916284329563812,0.7780936995153472,76.91638126009694,23.914345295829293
강북구,2024,289374,0.5902415254237288,24.949547803617573,0.838065976714101,73.70255167958656,24.948695090439276
강북구,2025,285900,0.5906819144430326,24.630749354005168,0.7703165374677002,71.7140180878553,24.630377906976744
강서구,2021,579768,2.781027744270205,24.476055880441848,1.3539542483660132,,24.472819010416668
강서구,2022,574638,2.7815946924004824,24.44983839689722,1.4873544631306597,,24.447344760672703
강서구,2023,568826,2.788400482509047,25.126438267614738,1.3074038150662788,,25.12328802588997
강서구,2024,562194,2.7813558504221954,26.214516650501132,1.3964770523594052,72.05488041370394,26.209880220135968
강서구,2025,556370,2.7940096501809406,25.960368217054263,1.5599483204134368,72.23717700258398,25.95953488372093
관악구,2021,499449,0.8540953669259385,22.588598191214473,1.6581735456613584,,22.58698966408269
관악구,2022,501226,0.8545147108555969,22.649110320284695,1.7728155339805824,,22.650969205834684
관악구,2023,497883,0.8585525870815016,23.150985460420035,1.8624031007751938,78.35914082687339,23.151406401551892
관악구,2024,495620,0.8532059519783565,24.179749340369394,1.8499999999999999,76.10164257555847,24.18306600660066
관악구,2025,497391,0.8567636117686844,23.91217700258398,1.9735465116279072,75.91511627906978,23.911950904392764
광진구,2021,352627,1.6839800703399763,24.416995153473344,1.532546864899806,64.1686591276252,24.412004526349822
광진구,2022,351252,1.70320633059789,24.338759689922483,1.374264468153896,66.33562661498708,24.339082687338504
광진구,2023,351180,1.7048534583821804,25.10998062015504,1.2299095607235142,66.44589793281654,25.110594315245475
광진구,2024,348652,1.7048534583821804,26.546866925064602,1.1946042003231019,68.47406330749354,26.545885012919896
광진구,2025,349117,1.723194607268464,26.438824289405687,1.2988695090439277,68.31043281653747,26.43782622739018
구로구,2021,421163,3.1218190854870773,24.440775444264943,2.0939256865912763,76.44412144702842,24.442305205302297
구로구,2022,418418,3.3881510934393635,24.44741661216481,2.223856209150327,78.32229486760379,24.44434011818779
구로구,2023,415651,3.4269731610337972,24.959253246753246,1.8829457364341087,81.66551948051948,24.9542977893368
구로구,2024,411916,3.4478429423459245,26.038869143780293,1.9516472868217054,72.48669250645995,26.039705787261557
구로구,2025,408238,3.459985089463221,25.875193798449615,1.927399030694669,72.10335917312662,25.87437015503876
금천구,2021,244891,2.982258064516129,24.83043335521996,1.9157635467980296,65.58421052631579,24.82564717477004
금천구,2022,242818,3.2361904761904765,24.809628432956384,2.1034917555771098,69.16781906300484,24.806996443582282
금천구,2023,241105,3.2479032258064517,25.505038759689924,1.9296188630490958,70.18359173126615,25.505545865633074
금천구,2024,239070,3.237181259600615,26.432138242894055,1.9799741602067182,68.55423126614987,26.430562015503877
금천구,2025,237562,3.2499923195084484,26.114954780361757,1.9743540051679587,68.25983100422489,26.113869509043926
노원구,2021,514946,1.8624661399548537,23.100710594315245,1.241389337641357,75.09560723514213,23.099551033591734
노원구,2022,508014,1.9004147855530475,23.370801033591732,1.0862358642972536,75.50523255813954,23.37250645994832
노원구,2023,502925,1.9024887133182844,23.970542635658916,0.9792690815006468,76.22099483204134,23.970219638242895
노원구,2024,496552,1.9334480812641084,25.537564599483204,1.065242718446602,74.14974160206718,25.536485788113698
노원구,2025,489003,1.9211562323745064,25.381442963925902,0.9979644588045233,74.1530361757106,25.386482264887732
도봉구,2021,319373,1.2781404358353512,23.49929078014184,0.9569004893964111,85.85541680728991,23.49449541284404
도봉구,2022,313989,1.2899370460048427,23.809640237513097,1.082465221611129,79.41474719101124,23.80179739711572
도봉구,2023,309494,1.315050847457627,24.25227716330514,0.919903069466882,80.34773169151005,24.26241977734119
도봉구,2024,306032,1.3233753026634385,25.39198966408269,0.947279792746114,73.8078165374677,25.39106589147287
도봉구,2025,303051,1.3228910411622277,24.981750645994833,0.8786084142394822,74.91579457364341,24.98123708010336
동대문구,2021,352006,2.95626582278481,24.55497416020672,1.6512116316639742,65.25859173126615,24.554602713178294
동대문구,2022,353601,2.963206751054852,24.567118863049096,1.7048788368336028,67.08094315245478,24.567115633074934
동대문구,2023,359873,2.961898734177215,25.273094315245476,1.5541343669250647,67.83368863049095,25.273704780361758
동대문구,2024,358603,2.9644444444444447,26.350468497576735,1.658403361344538,68.30558966074312,26.3474490785645
동대문구,2025,366923,2.9775527426160338,26.15219638242894,1.634087237479806,68.20384366925065,26.151133720930233
동작구,2021,394364,1.7273716381418094,24.92947266256875,1.49124394184168,63.54851421188631,24.924354159922306
동작구,2022,390432,1.73,24.236950904392767,1.548088139987038,69.43576736672053,24.2365019379845
동작구,2023,389714,1.73,24.952714932126696,1.390406976744186,68.65507105943152,24.954961165048545
동작구,2024,387352,1.62765749235474,25.82260981912145,1.4363695090439277,67.06886304909561,25.821023901808786
동작구,2025,384281,1.9253300733496337,25.49696382428941,1.3781330749354004,66.16130490956073,25.495591085271318
마포구,2021,378686,3.7165828092243185,24.44917502426399,2.4412564766839377,71.9724037528308,24.4463477132663
마포구,2022,375585,3.7165828092243185,24.483651050080773,2.542681744749596,74.1937338501292,24.4835919818946
마포구,2023,375162,3.71251572327044,25.031760904684976,2.3132148626817446,75.85806138933765,25.031131587455544
마포구,2024,372745,3.6896603773584906,26.218448566610455,2.389614343707713,74.15231028667792,26.216880702940184
마포구,2025,369364,3.713622641509434,24.929328165374677,2.3968669250645993,73.39570413436692,24.928165374677004
서대문구,2021,315659,1.437475893363585,23.222739018087857,1.1704361873990308,75.46954134366925,23.22173126614987
서대문구,2022,319554,1.4452467385138967,23.379773828756058,1.1822977346278318,76.3124071082391,23.380798577432913
서대문구,2023,320629,1.4500113442994895,23.888242894056848,1.0092377260981913,78.12122093023255,23.888691860465116
서대문구,2024,318622,1.4406352807714125,24.8721629485936,0.9920788878111866,75.35277957336781,24.86865976044027
서대문구,2025,316832,1.474117980714691,24.304398447606726,0.9350905562742562,79.76697930142302,24.30388349514563
서초구,2021,416167,3.0846253724989356,24.540129240710822,1.291273432449903,,24.534985451018432
서초구,2022,408451,3.080932510112838,24.656069925542248,1.3166504697116943,59.903571428571425,24.660709426627793
서초구,2023,412078,3.080932510112838,24.947965116279068,1.2868540051679587,72.71847545219639,24.948646640826873
서초구,2024,413076,3.080932510112838,25.863113695090437,1.2910529715762273,70.74515503875969,25.861563307493537
서초구,2025,419295,3.08682563338301,25.66001291989664,1.2830103359173126,70.73966408268734,25.659454134366925
성동구,2021,292672,1.807953736654804,25.126977290524668,1.8688209949079515,71.68625685199687,25.12639389193422
성동구,2022,288234,1.8520332936979784,25.344253246753247,1.8994146341463414,72.40471698113208,25.343521767381418
성동구,2023,284766,1.7086860879904873,25.120414105467486,1.851277903591071,70.08039469427369,25.11685658789252
성동구,2024,281289,1.8520166073546855,26.037758397932816,1.9545219638242894,68.70148578811369,26.036120801033594
성동구,2025,282714,1.85128418549346,25.84780361757106,1.79282250242483,68.65536175710594,25.846789405684756
성북구,2021,440142,1.6618022782750204,22.994020149496265,1.6433602584814215,76.49112772180696,22.995831976554868
성북구,2022,441984,1.6796623270951994,23.666785367432826,1.7151857835218094,79.90417475728155,23.66389627228525
성북구,2023,438168,1.5878030919446704,24.206247976691486,1.6689644012944984,71.99226537216829,24.20399416909621
성북구,2024,435037,1.5817745217745218,25.197731691510043,1.824554583738257,70.03527696793003,25.19343385214008
성북구,2025,437496,1.636299308662058,25.02502427970217,1.7620711974110033,70.16585760517799,25.018145867098863
송파구,2021,663965,2.955944510035419,24.921726479146457,1.5241992882562279,,24.927291869128606
송파구,2022,664514,2.955944510035419,24.891725921137684,1.5711190168175937,,24.898864077669906
송파구,2023,660025,3.119755017709563,25.57382875605816,1.4190630048465267,,25.576964112512126
송파구,2024,656310,2.9615850059031876,26.705749354005167,1.4475436328377504,66.70668604651162,26.704612403100775
송파구,2025,649759,3.12711334120425,26.201356589147284,1.8145954692556636,68.56824935400516,26.200700904392765
양천구,2021,450487,2.7441068351522113,25.449127906976745,1.128021978021978,,25.448837209302326
양천구,2022,444010,2.767731188971855,25.127745478036175,1.4212669683257917,,25.127374031007754
양천구,2023,439252,2.7677426766226305,25.316408268733852,1.6017441860465116,69.80801033591732,25.31687338501292
양천구,2024,434351,2.7616427340608847,26.237593984962405,1.699051977770513,67.84955867930697,26.233562315996075
양천구,2025,428537,2.7627857553130384,25.95421647819063,1.6435723514211886,68.4078488372093,25.950229550598124
영등포구,2021,400908,3.2536537678207735,25.229834791059282,1.1807455429497569,65.624,25.228956239870342
영등포구,2022,398085,3.2728594704684317,25.18816260162602,1.3213472177025707,67.93577235772358,25.185584119752686
