age_group,factor
0-9,1.1987870146688843e-06
10-19,7.932173199918078e-06
20-29,1.8934114990606083e-05
30-39,1.8642386068306625e-05
40-49,2.1949981617518257e-05
50-59,3.0476378718593203e-05
60-69,2.8898459159380046e-05
70-79,3.2389958848597924e-05
80+,5.1911835721913654e-05
